#{"t_start": 1744231185.634812, "env_id": "Humanoid-v5"}
r,l,t
97.747068,24,0.174372
74.148278,17,0.237718
75.948045,17,0.304204
121.644571,27,0.390304
123.642606,26,0.448015
155.499288,33,0.525126
88.922129,20,0.57146
117.342918,28,0.637248
146.040034,35,0.719929
79.270261,18,0.764318
76.287468,17,0.80276
95.472426,21,0.848862
76.339379,17,0.891878
76.123583,17,0.930467
74.261147,17,0.968434
103.405669,23,1.01987
76.530069,17,1.058191
85.55627,19,1.101689
79.211199,18,1.142779
76.23751,17,1.181563
127.246599,28,1.243545
96.587222,21,1.290261
82.716652,19,1.333189
102.784672,23,1.384997
93.3618,21,1.433239
85.955639,19,1.476309
87.175495,20,1.519774
92.450263,22,1.567998
86.188227,20,1.612339
71.303374,16,1.647907
84.099337,19,1.689449
113.52644,26,1.753118
115.137592,25,1.813074
85.931824,19,1.85824
155.953068,34,1.943059
84.118574,19,1.989019
79.865495,18,2.029684
117.09125,28,2.093635
105.737296,25,2.148423
122.310434,28,2.213278
76.209211,17,2.251426
195.979605,45,2.354566
71.670586,16,2.39104
69.776199,16,2.427697
132.867983,28,2.495414
76.662206,17,2.534617
96.809869,22,2.586504
83.661872,19,2.629556
74.952342,17,2.668657
81.186488,18,2.709666
95.172655,22,2.759641
106.053137,23,2.815221
76.403755,17,2.852777
157.400697,37,2.939479
155.744066,33,3.018981
79.884937,18,3.060162
71.282087,16,3.096402
90.370346,20,3.142536
87.291226,19,3.1857
103.821431,22,3.235936
76.246819,17,3.274603
97.380077,21,3.322415
76.254271,17,3.361257
81.339495,18,3.405202
73.596345,17,3.455657
93.442872,21,3.504782
131.910841,31,3.583668
85.543764,19,3.626605
80.951277,18,3.668114
99.394695,24,3.723232
70.397064,16,3.759898
102.195084,23,3.81368
81.089254,18,3.85461
113.795178,25,3.91238
76.307784,17,3.951265
120.389877,26,4.010835
71.529991,16,4.048138
119.382309,26,4.108821
75.99208,17,4.146886
76.640071,17,4.185445
71.772756,16,4.224968
76.603309,17,4.26163
120.328436,26,4.321727
82.110325,18,4.363156
160.545348,35,4.443811
106.138201,24,4.503485
85.087414,20,4.550188
109.356045,24,4.609555
71.503769,16,4.644293
76.392445,17,4.6825
76.221613,17,4.720725
87.589101,20,4.766594
71.362175,16,4.806664
100.055368,24,4.877827
112.157606,24,4.931822
71.028585,16,5.001531
68.916872,16,5.041124
72.42833,18,5.085562
71.057556,16,5.13028
85.719135,22,5.184395
96.011815,26,5.248293
